Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Allopurinol		Gout	Yes	Yes	Yes	Yes	No	No	Yes	Yes	XDH;	14/07/2017	https://www.drugbank.ca/drugs/DB00437	https://pubchem.ncbi.nlm.nih.gov/compound/315-30-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Allopurinol)+AND+cancer	
Alpha-Lipoic Acid	Thioctic Acid, Lipoic Acid	Diabetic neuropathy (Germany)	No	Yes	Yes	Yes	Yes	No	Yes	Yes	LIPT1; LIAS; SLC5A6;	14/07/2017	https://www.drugbank.ca/drugs/DB00166	https://pubchem.ncbi.nlm.nih.gov/compound/1200-22-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Alpha-Lipoic+Acid+OR+Thioctic+Acid+OR++Lipoic+Acid)+AND+cancer	
Amantadine		Parkinson's Disease, Influenza A	No	Yes	Yes	No	No	No	No	No	M; GRIN3A; CHRNA7; DRD2; CHRNA4; CHRNA3;	18/07/2017	https://www.drugbank.ca/drugs/DB00915	https://pubchem.ncbi.nlm.nih.gov/compound/768-94-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amantadine)+AND+cancer	
Ambroxol		Excessive mucus	No	Yes	Yes	Yes	No	No	No	No		19/01/2021	https://www.drugbank.ca/drugs/DB06742	https://pubchem.ncbi.nlm.nih.gov/compound/18683-91-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ambroxol)+AND+cancer	
Amiloride		In congestive heart failure or hypertension treated with thiazides, to conserve potassium	Yes	Yes	Yes	Yes	No	No	No	No	SCNN1A; SCNN1B; SCNN1G; SCNN1D; AOC1; ASIC2; ASIC1; SLC9A1; PLAU;	18/07/2017	https://www.drugbank.ca/drugs/DB00594	https://pubchem.ncbi.nlm.nih.gov/compound/2609-46-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amiloride)+AND+cancer	
Aminophylline		Asthma, chronic bronchitis	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE3A; ADORA1; ADORA3; HDAC2;	17/02/2020	https://www.drugbank.ca/drugs/DB01223	https://pubchem.ncbi.nlm.nih.gov/compound/317-34-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Aminophylline)+AND+cancer	
Amiodarone		Ventricular tachycardia/fibrillation	Yes	Yes	Yes	Yes	No	No	Yes	Yes	KCNH2; ADRB1; CACNA1I; CACNA1C; THRA; PPARG; PPARA; PPARGC1B;	19/07/2017	https://www.drugbank.ca/drugs/DB01118	https://pubchem.ncbi.nlm.nih.gov/compound/1951-25-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amiodarone)+AND+cancer	
Amitriptyline		Depression	Yes	Yes	Yes	Yes	No	No	No	No	SLC6A2; SLC6A4; HTR2A; HTR1A; OPRD1; OPRK1; NTRK1; NTRK2; ADRA1A; ADRA1D; ADRA2A; HRH1; KCNQ2; KCNA1; HRH2; HRH4; SIGMAR1; HTR2C; ADRA1B; HTR7; HTR1D; OPRM1; HTR1B; HTR6; KCNQ3; Htr2c; CHRM1; KCNH2;	07/08/2017	https://www.drugbank.ca/drugs/DB00321	https://pubchem.ncbi.nlm.nih.gov/compound/50-48-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amitriptyline)+AND+cancer	
Amlodipine		Hypertension	Yes	Yes	Yes	Yes	No	No	No	No	CACNA1C; CACNA1B; CACNB1; CACNA2D3; CA1; SMPD1; CACNA1I; CACNA1B;	07/08/2017	https://www.drugbank.ca/drugs/DB00381	https://pubchem.ncbi.nlm.nih.gov/compound/88150-42-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amlodipine)+AND+cancer	
Amodiaquine		Malaria	Yes	Yes	Yes	No	No	No	No	No	HNMT;	07/08/2017	https://www.drugbank.ca/drugs/DB00613	https://pubchem.ncbi.nlm.nih.gov/compound/86-42-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Amodiaquine)+AND+cancer	
Anagrelide		Essential thrombocythemia	No	Yes	Yes	Yes	No	No	No	No	PDE3A;	02/08/2021	https://www.drugbank.ca/drugs/DB00261	https://pubchem.ncbi.nlm.nih.gov/compound/68475-42-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Anagrelide)+AND+cancer	
Anakinra		RA, NOMID, CAPS	No	Yes	Yes	Yes	Yes	No	Yes	Yes	IL1R1;	02/08/2021	https://www.drugbank.ca/drugs/DB00026	https://pubchem.ncbi.nlm.nih.gov/compound/143090-92-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Anakinra)+AND+cancer	
Aprepitant		Nausea, vomiting	Yes	Yes	Yes	Yes	No	No	Yes	Yes	TACR1;	02/08/2021	https://www.drugbank.ca/drugs/DB00673	https://pubchem.ncbi.nlm.nih.gov/compound/170729-80-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Aprepitant)+AND+cancer	
Aprotinin		Perioperative blood loss	No	No	Yes	Yes	No	No	Yes	Yes	PRSS1; CTRB1; PLG; KLK1;	21/08/2017	https://www.drugbank.ca/drugs/DB06692	https://pubchem.ncbi.nlm.nih.gov/compound/9087-70-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Aprotinin)+AND+cancer	
Argatroban		Heparin-induced thrombocytopenia	No	Yes	Yes	Yes	No	No	No	No	F2;	20/03/2019	https://www.drugbank.ca/drugs/DB00278	https://pubchem.ncbi.nlm.nih.gov/compound/74863-84-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Argatroban)+AND+cancer	
Aripiprazole		Bipolar disorder, major depressive disorder, autistic disorder	No	Yes	Yes	Yes	No	No	No	No	HTR1A; DRD2; HTR2A; ADRA1A; ADRA1B; DRD3; HTR1D; HTR7; ADRA2A; ADRA2C; HRH1; HTR1B; HTR2C; HTR3A; HTR6; DRD1; DRD4; ADRA2B; HTR1E; DRD5; HTR2B; HTR5A; ADRB1; ADRB2; HRH2; HRH3; HRH4; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; OPRK1; OPRM1; OPRD1; GRIN1; SLC6A3; SLC6A4;	01/02/2021	https://www.drugbank.ca/drugs/DB01238	https://pubchem.ncbi.nlm.nih.gov/compound/129722-12-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Aripiprazole)+AND+cancer	
Artesunate		Malaria	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	EXP-1;	21/08/2017	https://www.drugbank.ca/drugs/DB09274	https://pubchem.ncbi.nlm.nih.gov/compound/88495-63-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Artesunate)+AND+cancer	
Ascorbic acid	Ascorbate, Vitamin C	Scurvy	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	xylA; PLOD2; PHYH; PLOD3; BBOX1; DBH; PAM; P3H1; P3H2; P3H3; P4HA1; OGFOD1; OGFOD2; ALKBH2; ALKBH3; KDM5D; PLOD1; TMLHE; P4HTM; EGLN1; EGLN2; EGLN3;	09/08/2017	https://www.drugbank.ca/drugs/DB00126	https://pubchem.ncbi.nlm.nih.gov/compound/50-81-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ascorbic+acid+OR+Ascorbate+OR++Vitamin+C)+AND+cancer	
Atenolol		Hypertension, angina pectoris	Yes	Yes	Yes	No	No	No	No	No	ADRB1; ADRB2;	21/08/2017	https://www.drugbank.ca/drugs/DB00335	https://pubchem.ncbi.nlm.nih.gov/compound/29122-68-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Atenolol)+AND+cancer	
Atorvastatin		Coronary heart disease, acute coronary syndrome	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	HMGCR; DPP4; AHR; HDAC2; NR1I3;	21/08/2017	https://www.drugbank.ca/drugs/DB01076	https://pubchem.ncbi.nlm.nih.gov/compound/134523-00-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Atorvastatin)+AND+cancer	
Atovaquone		Pneumocystis carinii pneumonia, toxoplasmose	No	Yes	Yes	Yes	No	Yes	Yes	Yes	MT-CYB; DHODH;	21/08/2017	https://www.drugbank.ca/drugs/DB01117	https://pubchem.ncbi.nlm.nih.gov/compound/95233-18-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Atovaquone)+AND+cancer	
Atrial Natriuretic Peptide	Carperitide	Heart failure	No	No	Yes	Yes	No	Yes	Yes	Yes		03/08/2021	https://www.drugbank.ca/drugs/DB15591	https://pubchem.ncbi.nlm.nih.gov/compound/85637-73-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Atrial+Natriuretic+Peptide+OR+Carperitide)+AND+cancer	
Auranofin		RA	No	Yes	Yes	Yes	No	No	Yes	Yes	PRDX5; IKBKB;	23/08/2017	https://www.drugbank.ca/drugs/DB00995	https://pubchem.ncbi.nlm.nih.gov/compound/34031-32-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Auranofin)+AND+cancer	
Azelastine		Allergies	No	Yes	Yes	Yes	No	No	No	No	HRH1; HRH2; PLA2G1B; LTC4S;	28/08/2019	https://www.drugbank.ca/drugs/DB00972	https://pubchem.ncbi.nlm.nih.gov/compound/58581-89-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Azelastine)+AND+cancer	
Azithromycin		Bacterial infection, CAP, PID	Yes	Yes	Yes	Yes	No	No	Yes	Yes	PADI4;	23/08/2017	https://www.drugbank.ca/drugs/DB00207	https://pubchem.ncbi.nlm.nih.gov/compound/83905-01-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Azithromycin)+AND+cancer	
Bazedoxifene		Osteoporosis	No	No	Yes	Yes	No	No	Yes	Yes	ESR1; ESR2;	24/08/2017	https://www.drugbank.ca/drugs/DB06401	https://pubchem.ncbi.nlm.nih.gov/compound/198481-32-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bazedoxifene)+AND+cancer	
Bedaquiline		Tuberculosis	Yes	No	Yes	No	No	No	No	No	atpE;	24/08/2017	https://www.drugbank.ca/drugs/DB08903	https://pubchem.ncbi.nlm.nih.gov/compound/843663-66-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bedaquiline)+AND+cancer	
Bemiparin		Venous thromboembolism, myocardial infarction	No	No	Yes	Yes	No	No	Yes	Yes	F10; SERPINC1; SERPIND1;	24/08/2017	https://www.drugbank.ca/drugs/DB09258	https://pubchem.ncbi.nlm.nih.gov/compound/91449-79-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bemiparin)+AND+cancer	
Benserazide		Parkinson's Disease	No	Yes	Yes	Yes	No	No	No	No	DDC;	24/08/2017	https://www.drugbank.ca/drugs/DB12783	https://pubchem.ncbi.nlm.nih.gov/compound/322-35-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Benserazide)+AND+cancer	
Benzatropine	Benztropine	Parkinson's Disease	No	Yes	Yes	Yes	No	No	No	No	CHRM1; SLC6A3; HRH1; SLC6A4; SLC6A2;	12/03/2018	https://www.drugbank.ca/drugs/DB00245	https://pubchem.ncbi.nlm.nih.gov/compound/86-13-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Benzatropine+OR+Benztropine)+AND+cancer	
Bepridil		Hypertension and chronic stable angina	No	Yes	Yes	Yes	No	No	No	No	CACNA1A; CACNA1H; CACNA2D2; ATP1A1; KCNQ1; TNNC1; CALM1; PDE1B; PDE1A; KCNH2;	24/08/2017	https://www.drugbank.ca/drugs/DB01244	https://pubchem.ncbi.nlm.nih.gov/compound/64706-54-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bepridil)+AND+cancer	
Bezafibrate		Hyperlipidemia	No	Yes	Yes	Yes	No	No	Yes	Yes	PPARA; PPARD; PPARG; NR1I2; RXRA; RXRB; RXRG;	24/08/2017	https://www.drugbank.ca/drugs/DB01393	https://pubchem.ncbi.nlm.nih.gov/compound/41859-67-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bezafibrate)+AND+cancer	
Biperiden		Parkinson's Disease	Yes	Yes	Yes	Yes	No	No	No	No	CHRM1;	24/08/2017	https://www.drugbank.ca/drugs/DB00810	https://pubchem.ncbi.nlm.nih.gov/compound/514-65-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Biperiden)+AND+cancer	
Bosentan		PAH	No	Yes	Yes	Yes	No	No	Yes	Yes	EDNRA; EDNRB;	24/08/2017	https://www.drugbank.ca/drugs/DB00559	https://pubchem.ncbi.nlm.nih.gov/compound/147536-97-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bosentan)+AND+cancer	
Brexpiprazole		Schizophrenia, major depressive disorder	No	No	Yes	Yes	No	No	No	No	HTR1A; DRD2; HTR2A; ADRA2C; ADRA1B;	17/02/2020	https://www.drugbank.ca/drugs/DB09128	https://pubchem.ncbi.nlm.nih.gov/compound/913611-97-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Brexpiprazole)+AND+cancer	
Bromhexine		Excessive mucus	No	Yes	Yes	Yes	No	No	No	No	TMPRSS2; ACE2;	19/01/2021	https://www.drugbank.ca/drugs/DB09019	https://pubchem.ncbi.nlm.nih.gov/compound/3572-43-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bromhexine)+AND+cancer	
Bromocriptine		Parkinson's Disease, prevention of lactation	No	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; DRD3; HTR1D; ADRA2A; HTR1A; ADRA2C; ADRA2B; HTR2B; DRD4; HTR2A; HTR1B; HTR2C; DRD5; DRD1; ADRA1A; ADRA1B; ADRA1D; HTR7;	24/08/2017	https://www.drugbank.ca/drugs/DB01200	https://pubchem.ncbi.nlm.nih.gov/compound/25614-03-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bromocriptine)+AND+cancer	
Bumetanide		Edema	No	Yes	Yes	Yes	No	No	Yes	Yes	SLC12A1; SLC12A2; SLC12A4; SLC12A5; CFTR;	25/10/2021	https://www.drugbank.ca/drugs/DB00887	https://pubchem.ncbi.nlm.nih.gov/compound/28395-03-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Bumetanide)+AND+cancer	
Cabergoline		Hyperprolactinemia	No	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; HTR2B; DRD3; HTR2A; ADRA2B; HTR1D; DRD4; ADRA2A; HTR1A; ADRA2C; DRD5; DRD1; HTR1B; HTR2C; HTR7; ADRA1A; ADRA1B; ADRA1D; ADRB1; ADRB2; DRD1;	23/08/2017	https://www.drugbank.ca/drugs/DB00248	https://pubchem.ncbi.nlm.nih.gov/compound/81409-90-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cabergoline)+AND+cancer	
Caffeine		Newborn apnea	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ADORA1; PDE4B; ADORA2A; RYR1; PDE1A; PRKDC; PIK3CD; PIK3CA; PIK3CB; ITPR1; ATM; ADORA2B; ADORA3; PDE1B;	03/08/2021	https://www.drugbank.ca/drugs/DB00201	https://pubchem.ncbi.nlm.nih.gov/compound/58-08-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Caffeine)+AND+cancer	
Calcipotriol	Vitamin D3	Psoriasis	No	Yes	Yes	Yes	Yes	No	Yes	Yes	VDR;	21/03/2019	https://www.drugbank.ca/drugs/DB02300	https://pubchem.ncbi.nlm.nih.gov/compound/112965-21-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Calcipotriol+OR+Vitamin+D3)+AND+cancer	
Calcitriol	Vitamin D3	Vitamin D deficiency	No	Yes	Yes	Yes	Yes	No	Yes	Yes	VDR; HOXA10;	23/08/2017	https://www.drugbank.ca/drugs/DB00136	https://pubchem.ncbi.nlm.nih.gov/compound/32222-06-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Calcitriol+OR+Vitamin+D3)+AND+cancer	
Canagliflozin		Diabetes	No	No	Yes	Yes	No	No	Yes	Yes	SLC5A2;	09/08/2021	https://www.drugbank.ca/drugs/DB08907	https://pubchem.ncbi.nlm.nih.gov/compound/842133-18-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Canagliflozin)+AND+cancer	
Candesartan		Hypertension	No	Yes	Yes	Yes	No	No	Yes	Yes	AGTR1;	23/08/2017	https://www.drugbank.ca/drugs/DB13919	https://pubchem.ncbi.nlm.nih.gov/compound/139481-59-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Candesartan)+AND+cancer	
Cannabidiol		Seizures associated with Lennox-Gastaut & Dravet syndromes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	CNR1; CNR2; GPR12; GLRA1; GLRA1; GLRA3; GPR18; GPR55; HTR1A; HTR2A; CHRNA7; OPRD1; OPRM1; PPARG; TRPV1; CACNA1G; CACNA1H; CACNA1I; TRPA1; TRPM8; TRPV2; TRPV3; TRPV4; VDAC1; HTR3A; ADORA1; PTGS1; PTGS2; ACAT1; CYP17A1; HMGCR; GSR; GPX1; IDO1; CYP1B1; NQO1; CAT; CYP3A5; CYP2D6; SOD1; CYP1A2; CYP3A7; AANAT; NAAA;	24/11/2021	https://www.drugbank.ca/drugs/DB09061	https://pubchem.ncbi.nlm.nih.gov/compound/13956-29-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cannabidiol)+AND+cancer	
Captopril		Hypertension	No	Yes	Yes	Yes	No	No	Yes	Yes	ACE; MMP2; MMP9; LTA4H; BDKRB1;	25/08/2017	https://www.drugbank.ca/drugs/DB01197	https://pubchem.ncbi.nlm.nih.gov/compound/62571-86-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Captopril)+AND+cancer	
Carbimazole		Hyperthyroidism	Yes	Yes	Yes	No	No	No	No	No	TPO;	25/08/2017	https://www.drugbank.ca/drugs/DB00389	https://pubchem.ncbi.nlm.nih.gov/compound/22232-54-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Carbimazole)+AND+cancer	
Carglumic Acid		Hyperammonaemia in N-acetylglutamate synthase deficiency	No	Yes	Yes	Yes	No	No	No	No	CPS1;	03/08/2021	https://www.drugbank.ca/drugs/DB06775	https://pubchem.ncbi.nlm.nih.gov/compound/1188-38-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Carglumic+Acid)+AND+cancer	
Carvedilol		Hypertension	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	ADRB1; ADRA1A; NDUFC2; ADRB2; VEGFA; NPPB; GJA1; KCNH2; VCAM1; ADRA1D; ADRA1B; ADRA2C; ADRA2B; ADRA2A; SELE; HIF1A; KCNJ4; KCNJ2; ADRA1A;	27/02/2021	https://www.drugbank.ca/drugs/DB01136	https://pubchem.ncbi.nlm.nih.gov/compound/72956-09-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Carvedilol)+AND+cancer	
Celecoxib		OA, RA, JRA, AS, acute pain, primary dysmenorrhea	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PTGS2; PDPK1; CA2; CA3; CDH11;	03/08/2021	https://www.drugbank.ca/drugs/DB00482	https://pubchem.ncbi.nlm.nih.gov/compound/169590-42-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Celecoxib)+AND+cancer	
Cephalexin		Bacterial infections	No	Yes	Yes	Yes	No	No	Yes	Yes	pbp3; pbp2a; pbp1b; penA; pbpA;	25/08/2017	https://www.drugbank.ca/drugs/DB00567	https://pubchem.ncbi.nlm.nih.gov/compound/15686-71-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cephalexin)+AND+cancer	
Chloramphenicol		Superficial eye infections, typhoid fever	Yes	Yes	Yes	No	Yes	No	No	Yes	rplP; draA; CD55;	28/02/2018	https://www.drugbank.ca/drugs/DB00446	https://pubchem.ncbi.nlm.nih.gov/compound/56-75-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Chloramphenicol)+AND+cancer	
Chloroquine		Malaria, Extraintestinal Amebiasis	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	GSTA2; TNF; TLR9; GST; HMGB1; GSTM1; ACE2;	06/08/2021	https://www.drugbank.ca/drugs/DB00608	https://pubchem.ncbi.nlm.nih.gov/compound/54-05-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Chloroquine)+AND+cancer	
Chlorpromazine		Psychotic disorders, nausea and vomiting, anxiety, hiccups	Yes	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; DRD1; HTR1A; HTR2A; ADRA1A; ADRA1B; HRH1; KCNH2; DRD1; DRD3; DRD4; DRD5; HTR2C; HTR2A; ADRA1A; ADRA2A; CHRM1; CHRM3; SMPD1; CALM1; ORM1; HTR6; HTR7; HRH4;	25/08/2017	https://www.drugbank.ca/drugs/DB00477	https://pubchem.ncbi.nlm.nih.gov/compound/50-53-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Chlorpromazine)+AND+cancer	
Cholecalciferol	Colecalciferol, Vitamin D3	Vitamin D deficiency	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	VDR;	25/08/2017	https://www.drugbank.ca/drugs/DB00169	https://pubchem.ncbi.nlm.nih.gov/compound/67-97-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cholecalciferol+OR+Colecalciferol+OR++Vitamin+D3)+AND+cancer	
Cholera Vaccine	Vibrio cholerae vaccine	Active immunization against cholera infection	Yes	N/A	No	Yes	No	Yes	No	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cholera+Vaccine+OR+Vibrio+cholerae+vaccine)+AND+cancer	
Cidofovir		CMV-retinitis in AIDS	No	Yes	Yes	Yes	Yes	No	Yes	Yes	UL54;	06/08/2021	https://www.drugbank.ca/drugs/DB00369	https://pubchem.ncbi.nlm.nih.gov/compound/113852-37-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cidofovir)+AND+cancer	
Cilnidipine		Hypertension	No	Yes	Yes	Yes	No	No	No	No	CACNA1B; CACNA1C;	30/08/2017	https://www.drugbank.ca/drugs/DB09232	https://pubchem.ncbi.nlm.nih.gov/compound/132203-70-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cilnidipine)+AND+cancer	
Cilostazol		Intermittent claudication	No	Yes	Yes	Yes	No	No	No	No	PDE3A;	24/09/2020	https://www.drugbank.ca/drugs/DB01166	https://pubchem.ncbi.nlm.nih.gov/compound/73963-72-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cilostazol)+AND+cancer	
Cimetidine		Duodenal/gastric ulcers, GERD, pathological hypersecretory conditions	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	HRH2;	31/08/2017	https://www.drugbank.ca/drugs/DB00501	https://pubchem.ncbi.nlm.nih.gov/compound/51481-61-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Cimetidine)+AND+cancer	
Ciprofloxacin		Antibiotic	Yes	Yes	Yes	Yes	No	No	Yes	Yes	parC; gyrA; TOP2A; KCNH2; gyrA; parC; parE; gyrA; mdtK; gyrA;	21/09/2017	https://www.drugbank.ca/drugs/DB00537	https://pubchem.ncbi.nlm.nih.gov/compound/85721-33-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ciprofloxacin)+AND+cancer	
Citalopram		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	SLC6A4; HRH1;	31/08/2017	https://www.drugbank.ca/drugs/DB00215	https://pubchem.ncbi.nlm.nih.gov/compound/59729-33-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Citalopram)+AND+cancer	
